,Strategy,Symbol,Date,option,Qty,ExpiryDt,Strike,EnTime,BPrice,ExTime,SPrice
203,EMA_15_CE_strategy,NIFTY,2022-10-12,CE,50,2022-10-13,17100,14:00:00,78.5,15:15:00,98.45
204,EMA_15_CE_strategy,NIFTY,2022-10-13,CE,50,2022-10-13,17000,14:15:00,39.15,15:15:00,11.9
205,EMA_15_CE_strategy,NIFTY,2022-10-17,CE,50,2022-10-20,17200,10:15:00,140.0,15:15:00,172.4
206,EMA_15_CE_strategy,NIFTY,2022-10-18,CE,50,2022-10-20,17500,15:00:00,76.35,15:15:00,84.5
207,EMA_15_CE_strategy,NIFTY,2022-10-19,CE,50,2022-10-20,17500,14:15:00,87.8,14:45:00,75.75
208,EMA_15_CE_strategy,NIFTY,2022-10-20,CE,50,2022-10-20,17500,10:45:00,41.3,11:15:00,26.25
209,EMA_15_CE_strategy,NIFTY,2022-10-20,CE,50,2022-10-20,17500,12:30:00,29.8,13:45:00,14.7
210,EMA_15_CE_strategy,NIFTY,2022-10-20,CE,50,2022-10-20,17500,14:15:00,20.55,15:15:00,57.75
211,EMA_15_CE_strategy,NIFTY,2022-10-25,CE,50,2022-10-27,17800,09:45:00,49.2,11:00:00,30.4
212,EMA_15_CE_strategy,NIFTY,2022-10-25,CE,50,2022-10-27,17700,12:00:00,68.3,12:30:00,64.65
213,EMA_15_CE_strategy,NIFTY,2022-10-25,CE,50,2022-10-27,17700,13:30:00,62.3,14:30:00,59.35
214,EMA_15_CE_strategy,NIFTY,2022-10-25,CE,50,2022-10-27,17700,14:45:00,69.75,15:15:00,49.9
215,EMA_15_CE_strategy,NIFTY,2022-10-27,CE,50,2022-10-27,17800,09:45:00,29.4,11:45:00,7.2
